# icr-intercell gene name dictionary v0.2
#
# jamesc@icr.ac.uk, 13th May 2014
#
# This file is used as a dictionary to standardise gene names in different data sets
# Cell line names found in the first column (alias) should be converted to those
# given in the second column (gene_name).
#
# Gene name information was extracted from columns 4 and 7 in the file:
# 	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/GENE_INFO/Mammalia/Homo_sapiens.gene_info.gz
#
# This version contains 102615 alia for 47634 distinct gene names
#
# Changes: 
#   changed HGF\tSOS1 to HGF\tHGF
#	changed APC\tPROC to APC\APC
# need to address the issue of an official gene name being an alias for another gene...
#
#alias	gene_name
DDC8	TIMP2
DGAT2L6	DGAT2L6
HEL117	ERLEC1
LINC00884	LINC00884
LOC100128027	LOC100128027
C21orf110	ANKRD30BP1
MIHG1	MIR17HG
FBXL12	FBXL12
MOCS3P	MOCS3P1
CLQTL1	CLQTL1
C13orf8	CHAMP1
DFNA47	DFNA47
DCAL1	CLECL1
bcr/abl	ABL1
RPL17P7	RPL17P7
GFR-ALPHA-1	GFRA1
TRNAP4	TRNAP4
TRNASTOP-UUA	TRNASTOP-UUA
IGKV1/OR1-1	IGKV1OR1-1
RNF221	PHRF1
CCFDN	CTDP1
HPDR	PHEX
TRAJ15	TRAJ15
bA373D17.2	VN1R12P
PLA2	PLA2G6
RDH13	RDH13
RHOXF1	RHOXF1
TEG-261	TEX261
XIC	XIC
KCNAB3	KCNAB3
150-225	TNC
C9orf85	C9orf85
LOC102725169	LOC102725169
RNA5SP131	RNA5SP131
HH4	PROK2
YDR378C	LSM6
ARSA1	ASNA1
FLJ12825	FLJ12825
MCVD	LEPREL1
PHLDA3	PHLDA3
COFS4	ERCC1
CRF-R	CRHR1
LOC100507334	LOC100507334
GABARAP	GABARAP
zeta-COP	COPZ1
C22orf46	C22orf46
DSCR	DCR
EyeLinc1	LINC00461
LOC102723321	LOC102723321
RNA5SP354	RNA5SP354
LOC101929337	LOC101929337
U100	SCARNA14
RRB2	RARB
UNR	CSDE1
LOC100288367	LOC100288367
RPL6P4	RPL6P4
VSTM2L	VSTM2L
UPKA	UPK1A
bHLHa23	TCF21
RC3H1	RC3H1
POLE1	POLE
GYG1P2	GYG1P2
CCDC50	CCDC50
C20orf111	OSER1
ASD	ARSD
RPS23_2_521	RPS23P2
RN5S504	RNA5SP504
KIR2DS3	KIR2DS3
ST13P17	ST13P17
FLUP	NCS1
ERVI-1	ERVI-1
KDEL1	KDELC1
XTP1	DEPDC1B
SMPD4	SMPD4
AKAP7	AKAP7
MM1	PLXNB2
MIR135A2	MIR135A2
KAL6	FGF8
FGF11	FGF11
UQCRBP1	UQCRBP1
CLDN4	CLDN4
p21-Rac2	RAC2
SLC22A18	SLC22A18
RPL21P130	RPL21P130
RNF141	RNF141
GRK6	GRK6
chymase	CMA1
MIR382	MIR382
PIGZ	PIGZ
LOC100419824	LOC100419824
KAP2A	KRTAP2-5P
IBD12	IBD12
OR11-9	OR7E87P
MIR6764	MIR6764
RAB30-AS1	RAB30-AS1
ANKRD26P1	ANKRD26P1
BJ-TSA-9	FAM83A
C20orf138	WFDC13
LOC100996805	LOC100996805
PROK2	PROK2
KRT21	KRT20
SEPT5	SEPT5
IAN-1	GIMAP4
TRIM60	TRIM60
hHa4	KRT34
PLK3	PLK3
RAC1P7	RAC1P7
let-7a-2	MIRLET7A2
uc002pyc	HCCAT3
TRBV73	TRBV7-3
SNORD116-10	SNORD116-10
RPL26_13_865	RPL26P23
OR19-B	OR7D4
SCAX4	SCAX4
MTL4	MT1P3
LOC103047893	LOC103047893
CUL-3	CUL3
POROK5	POROK5
CARD18	CARD18
EPF8	HSPE1P16
PHF3	PHF3
TST2	TST2
HSPEP2	HSPE1P2
I2PP2A	SET
EU32	ELF2
MIR346	MIR346
MRP-L17	MRPL17
DnaJ	DNAJB6
LOC158434	LOC158434
CD156B	ADAM17
AMMEC	AMMEC
GPIG4	RASGEF1B
RNY4P23	RNY4P23
PCDHA4	PCDHA4
MIR7973-1	MIR7973-1
UCP4	SLC25A27
RNA5SP410	RNA5SP410
AASTH19	AASTH19
LSM16	EDC3
YJEFN1	APOA1BP
RPS4P19	RPS4XP19
TDRP1	TDRP
hSpred1	SPRED1
SNORD59B	SNORD59B
T2R58	TAS2R40
OR3-145	OR1F1
MYL2A	MYL7
SOCS6	SOCS6
LMLN	LMLN
LOC100533929	LOC100533929
CALNUC	NUCB1
CREG2	CREG2
SNORD114-25	SNORD114-25
RPSA_23_1496	RPSAP56
4.1G	EPB41L2
HNRNPA1P4	HNRNPA1P4
gs129	MEIOB
SYS1-DBNDD2	SYS1-DBNDD2
MGST3	MGST3
MARCH-VII	MARCH7
TEFM	TEFM
7B4	CDH5
C20orf47	ERGIC3
TFCP2L1	TFCP2L1
HYP1	PHEX
LOC729739	LOC729739
KCa3.1	KCNN4
HtV3	TRNAV9
CXorf42	NKAPP1
C5R1	C5AR1
CSF1	CSF1
HMMH	OGG1
KCTD9P4	KCTD9P4
AHCYP3	AHCYP3
uc002xlx	HNF4A-AS1
PCDH9-AS3	PCDH9-AS3
dJ222E13.2	RRP7B
MAGI2-AS1	MAGI2-AS1
ZFYVE9P1	ZFYVE9P1
BH-Pcdh	PCDH7
MRPS11	MRPS11
OSAD	OMD
vig1	RSAD2
IGHV3-42	IGHV3-42
MALRD1	MALRD1
TLX2	TLX2
ATP5JL	ATP5J2
PRPL-2	WIPF1
RPL29_1_300	RPL29P8
CENPH	CENPH
KCR1	ALG10B
LOC341112	LOC341112
SGN3	COPS3
EFHD1	EFHD1
AGRINL	EGFLAM
MARK2P3	MARK2P3
LOC100418732	LOC100418732
MCD	MLYCD
CDC14B3	CDC14B
MYEF2	MYEF2
BA554C12.1	RBX1
ARL2BPP6	ARL2BPP6
ET-3	EDN3
GAFA2	GAFA2
LOC102723860	LOC102723860
IEX1	IER3
MIRN300	MIR300
CLONE-23970	LRPPRC
EFVM	CYP2B6
SNAR-I	SNAR-I
ODF3L2	ODF3L2
KCNH2	KCNH2
TSEN15	TSEN15
LOC400750	LOC400750
PHI	GPI
RP23	OFD1
MARCH-VIII	MARCH8
C6orf164	C6orf164
SPI3	SERPINB6
NPIPB8	NPIPB8
ANKRD30BP1	ANKRD30BP1
RN5S287	RNA5SP287
MG81	TBC1D25
RPL23AP14	RPL23AP14
DAND3	GREM2
HOM-TES-103	IFFO1
HEL-S-98n	COMT
COQ10D2	PDSS1
LOC100422623	LOC100422623
NR0B1	NR0B1
KLHDC7B	KLHDC7B
GPATCH2L	GPATCH2L
BACH1-IT3	BACH1-IT3
DIPP-1	NUDT3
DFNB46	DFNB46
SGLT3	SLC5A4
TMEM217	TMEM217
KIF16B	KIF16B
IGLV(IV)-65	IGLVIV-65
U19H	SNHG4
ZNF818	ZNF818P
APOB	APOB
TRNAS17	TRNAS17
RCOR3	RCOR3
SYP-AS1	SYP-AS1
KIAA0635	CEP135
MIR3115	MIR3115
DCR	DCXR
OR4F18	OR4F17
CDH2	CDH2
CGPR-A	PDE6A
OR912-95	OR7E26P
CECR7	CECR7
GRB2L	GRAP2
MIRN129-1	MIR129-1
PRR10	KIRREL3-AS3
ACPT	ACPT
LOC101928885	LOC101928885
MIR1178	MIR1178
GTF3A	GTF3A
C21orf135	LINC00165
MIR1295	MIR1295A
RPL6_8_430	RPL6P8
SIGLECP11	SIGLEC27P
FinGER5	YIPF5
HSP27	HSPB2
C4A	C4A
LOC101928367	LOC101928367
SPPase1	SGPP1
DSG2	DSG2
YBX1P3	YBX1P3
OR11-82	OR10A2
Ells1	MTURN
TDRD14C	KDM4C
My016	BOLA2
MIRN1233	MIR1233-1
SERPINB7	SERPINB7
CEAL1	CEACAM19
TCP228	CCL5
SNORD4A	SNORD4A
RAB26	RAB26
TRNAC13	TRNAC13
EVI5	EVI5
NF-kB2	NFKB2
LOC100128762	LOC100128762
XPB	ERCC3
FPRH2	FPR3
hsa-mir-939	MIR939
dJ222E13.7	RNU12
SNORA11E	SNORA11E
GET4	GET4
RG208K23	EIF3IP1
ENAM	ENAM
UNQ201	LINGO1
EIF1AX-AS1	EIF1AX-AS1
LOC102724563	LOC102724563
HSD-30	C12orf54
OR3A7	OR3A3
UNQ729	DMKN
SRGAP2A	SRGAP2
ZNF166	ZNF197
CyaY	FXN
RENT1	UPF1
PLXNC1	PLXNC1
HSD7	RNU1-4
MIR7157	MIR7157
HLK3	KCNA3
U3b1	SNORD3B-1
CD206	MRC1
ATP5A1P10	ATP5A1P10
RNU4B1	RNU4-2
ATP2C1A	ATP2C1
STMP	STEAP2
CRIPTO-2	TDGF1P2
GZMK	GZMK
SPPR-1	S1PR5
NT-4	NTF4
LP-PLA2	PLA2G7
LOC100420769	LOC100420769
RPL36P16	RPL36P16
KRTHB5	KRT85
SNORD58C	SNORD58C
TMEM165	TMEM165
BRSTL1	SULT4A1
ACY1D	ACY1
MNDA	MNDA
CRIPTO3	TDGF1P3
FHR5	CFHR5
OX-40L	TNFSF4
LTB4R1	LTB4R
MSX2	MSX2
RPS20P24	RPS20P24
cdc19	MCM2
CYB560	SDHC
KRTHA4	KRT34
LOC101059990	LOC101059990
C6orf213	CLVS2
HEL-S-41	RGN
LINC01267	LINC01267
FucT-VII	FUT7
CTF1	CTF1
GUCA1	GUCA1A
EGFL7	EGFL7
LSD1	KDM1A
ATP5J2-PTCD1	ATP5J2-PTCD1
rd16	CEP290
FAM169A	FAM169A
HT1DA	HTR1D
HSA238982	VNN3
CLCP1	CLCP1
PEBP1P3	PEBP1P3
EDD	UBR5
CD45-AP	PTPRCAP
AP180	SNAP91
MIR5094	MIR5094
NSPL2	RTN3
SET2	SETD2
miRNA32	MIR32
ABCB10P1	ABCB10P1
RPL13A_2_89	RPL13AP10
RPS4X_5_1190	RPS4XP14
BLOC1S7	SNAPIN
RNA5SP368	RNA5SP368
FAM181B	FAM181B
OR2T27	OR2T27
FBXO49	ECT2L
LRRC66	LRRC66
UBL4A	UBL4A
ART2	ART1
LOC100129455	LOC100129455
CCCSX	CCCSX
SLC19A3	SLC19A3
TILP	AZI2
Gp95	SORT1
NAGPA-AS1	NAGPA-AS1
MYP5	MYP5
PCDH4	PCDHG@
IL-1A	IL1A
PsiGPR53	GPR53P
LOC101929085	LOC101929085
TRAJ51	TRAJ51
IQUB	IQUB
MRP3	ABCC3
CORD9	ADAM9
HNRNPA1P40	HNRNPA1P40
LOC102724376	LOC102724376
NTrenv	ERVW-2
BMP6P1	BMP6P1
SMP3	PIGZ
MMP18	MMP19
TTC25	TTC25
TMSL6	TMSB4XP6
HOX1C	HOXA5
PHYH2	HACL1
SNAPC4	SNAPC4
VR22	CTNNA3
TRAV13-2	TRAV13-2
TRIM49D2P	TRIM49D2P
LOC100288778	LOC100288778
RPS28P2	RPS28P2
H2BFXP	H2BFXP
LILRA2	LILRA2
RPL7	RPL7
LOC101929380	LOC101929380
RSCIS	RSCIS
MYOF	MYOF
MDI	MAFD2
KL-1	KITLG
GS1-279B7.1	GS1-279B7.1
MO1A	ITGAM
LUC7L	LUC7L
hsa-mir-1248	MIR1248
GSH-FDH	ADH5
QPCTL	QPCTL
SL1	TAF1A
PHA2E	CUL3
RPL37P24	RPL37P24
NCRNA00315	LINC00315
MOV34L	PSMD7P1
TUBGCP7	NEDD1
RPL17P34	RPL17P34
NYS5	NYS5
UBE2V1P6	UBE2V1P6
HsT2384	CIAPIN1P
MIRN608	MIR608
INSL5	INSL5
LLPL	PLA2G15
LOC102723628	LOC102723628
NAT6	NAT6
LOC101929401	LOC101929401
AWT1	WT1
NALCN	NALCN
LOC101929984	LOC101929984
RPL36A_4_361	RPL36AP17
POTE2gamma	POTEE
OR4F12	OR4F6
PRUNE	PRUNE
bA690P14.1	CCNJ
PAFABP	FABP5
MIR4448	MIR4448
FTHL6	FTH1
TP53TG3A	TP53TG3
RRN3P1	RRN3P1
PR01365	R3HDM2
PLAC3	PAPPA2
CDC42BPG	CDC42BPG
MIR5088	MIR5088
RPS26P18	RPS26P18
NF1L6	NF1P4
PCAT6	PCAT6
ZFPM1	ZFPM1
LOC550644	LOC550644
TOB5	BTG3
AKAP84	AKAP1
DDX39AP1	DDX39AP1
ECP51	RUVBL2
TRG-9	SNX2
GPATCH4	GPATCH4
MIR6871	MIR6871
MBRL	TMEM259
PDPR	PDPR
LOC100419755	LOC100419755
FAM130B	CSRNP1
DOLPP1	DOLPP1
AP1M1	AP1M1
BIG1	ARFGEF1
MIR593	MIR593
EP3-I	PTGER3
PLAP	PLAA
IPAF	NLRC4
LOC100128293	LOC100128293
LOC102723844	LOC102723844
CHAT	SH2D3C
LOC102724603	LOC102724603
TTBK1	TTBK1
MKP7	DUSP16
ALASH	ALAS1
DYN2	DNM2
V2-19	IGLV3-27
KYNU	KYNU
HMG-2a	HMGB3
LOC100293211	LOC100293211
GPN3	GPN3
EIG121L	KIAA1324L
STK32A	STK32A
PCDHB4	PCDHB4
HTC2	HTC2
CXorf51	CXorf51A
LOC101929495	LOC101929495
CYPIIA13	CYP2A13
LOC100507556	LOC100507556
MIR3670-1	MIR3670-1
LOC100294033	LOC100294033
ARSACS	SACS
LOC101929410	LOC101929410
IGLV1054	IGLV10-54
SAPK1	MAPK8
MIR4670	MIR4670
C14orf159	C14orf159
RPL6_14_853	RPL6P19
INTS10	INTS10
ZC2HC1C	ZC2HC1C
OR2BH1P	OR2BH1P
SPDYE	SPDYE1
OR6J1	OR6J1
TAFA5	FAM19A5
PCYOX1	PCYOX1
hCyP-60	PPIL2
SMIM21	SMIM21
HLA-K	HLA-K
RPL31_15_765	RPL31P27
BPG309N1.16	MCCD1P2
SCC112	PDS5A
MLR-3	CD69
VT4	UBN1
SLPI	SLPI
RPS20_2_68	RPS20P7
OFDYP1	OFD1P1Y
TULA-2	UBASH3B
aC1	C4orf6
GNA15	GNA15
CNTNAP4	CNTNAP4
bA20A20.1	IZUMO3
PBD9B	PEX7
C6orf137	TMEM151B
MTND3P9	MTND3P9
TRIM50C	TRIM74
CPC9	CYP2C9
SDR22E1	NDUFA9
LOC100420331	LOC100420331
LOC100130161	LOC100130161
NU	PSMA1
MDGF	PPBP
RPL6P25	RPL6P25
LOC150005	LOC150005
DDH2	DDH2
MCHR1	MCHR1
hsa-mir-4433b	MIR4433B
EF-2	EEF2
SBK	SBK1
TPC1	TPCN1
SEC63L	SEC63
MPHOSPH8	MPHOSPH8
LOC102725411	LOC102725411
PPET1	EDN1
hsa-mir-1972-1	MIR1972-1
OTTHUMT00000038524	PDZK1P2
OR1-1	OR4F16
LOC102724355	LOC102724355
THEM2	ACOT13
NCRNA00111	LINC00111
ATF5	ATF5
IGLV327	IGLV3-27
SIMP	STT3B
MIR5190	MIR5190
hsa-mir-6511b-1	MIR6511B1
RNU6-42	RNU6-42P
RNU7-26P	RNU7-26P
LOC101930544	LOC101930544
GCH	GCH1
CYB5D2	CYB5D2
KIAA1754L	ITPRIPL1
MIR651	MIR651
AB14	NBPF15
LOC646995	LOC646995
NEMO	IKBKG
RPL37A_4_1128	RPL37AP7
TEDDM1P1	TEDDM1P1
M8	PRNT
ECTD11B	EDARADD
LAP-4	GDF5
13K18	IGKV3-20
TRG-4	NXN
USP2	USP2
PROPERDIN	CFP
LOC100996771	LOC100996771
LOC100130044	LOC100130044
HRASLS5	HRASLS5
SPECC1	SPECC1
DELXq22.3	AMMEC
LOC100131890	LOC100131890
OR1E3P	OR1E3
RA24	RA24
RFESD	RFESD
KLC3	KLC3
LOC101928896	LOC101928896
C1orf128	PITHD1
OR4G1P	OR4G1P
IGKV1/OR15-118	IGKV1OR15-118
HBII-436	SNORD107
TMEM179A	TMEM179
FAM47DP	FAM47DP
BKLHD2	KLHL13
LOC102725471	LOC102725471
MFDM	EFTUD2
SCA7	ATXN7
PBD13A	PEX14
ZMYND20	ANKMY2
SETD5-AS1	THUMPD3-AS1
bA291L22.1	HSD17B7P2
MHC16	MYH14
MTND1P18	MTND1P18
C11DELp15p14	DEL11P15P14
LOC101927974	LOC101927974
KLHL16	GAN
ACTGP8	ACTG1P8
MIR4489	MIR4489
RPL35AP30	RPL35AP30
PFM2	PRDM5
HFMI1	CELSR3
EIF1P4	EIF1P4
MIR190B	MIR190B
MTND4L	ND4L
MIR3201	MIR3201
ARHGAP19	ARHGAP19
LOC101929473	LOC101929473
MED14P1	MED14P1
FDPSP5	FDPSP5
dJ1033B10.16	HCG25
GVQW1	GVQW1
uaz98	IQCJ-SCHIP1-AS1
MTND5P11	MTND5P11
TRIM53AP	TRIM53AP
TFRC	TFRC
TCEB1P22	TCEB1P22
JHDM2A	KDM3A
RBPMS2	RBPMS2
EIF4E2P1	EIF4E2P1
LRRC10B	LRRC10B
SFMD	SGSH
SEP1	XRN1
OR17-6	OR1A2
SPCS2P3	SPCS2P3
JM-27	PAGE4
CYB5-M	CYB5B
UQBC	UQCRB
GRB14	GRB14
BAAT1	BRAT1
5-HT1D	HTR1D
AAG12	MPP1
HEL-S-281	LDHB
MTAP6	MAP6
LOC100420095	LOC100420095
H3F3BP2	H3F3BP2
REG3G	REG3G
RXFP1	RXFP1
PEPA	CNDP2
LOC100421510	LOC100421510
LOC100129667	LOC100129667
RPL37_7_1015	RPL37P17
DYNC1I2	DYNC1I2
TTTY17B	TTTY17B
DAN16	CHERP
RN5S486	RNA5SP486
CROC-1	UBE2V1
LOC102724752	LOC102724752
SPAX3	SPAX3
CYLDI	CYLD
DHRS3	DHRS3
TRG4	TRNAG4
GAPDHP50	GAPDHP50
PBK	PBK
RNVU1-9	RNVU1-7
LOC101930130	LOC101930130
Grb-10	GRB10
TXNDC16	TXNDC16
ZIP14	SLC39A14
RNU1-18P	RNU1-18P
IGRP	G6PC2
NCRNA00217	TTTY8B
MIR4431	MIR4431
RPL36AP55	RPL36AP55
Orf26	SHISA8
KPPP1	AAGAB
SGA56M	SMG7
CAPL	S100A4
RPL37P2	RPL37P2
PRO34686	SLC22A15
SPIN1	SPNS1
HOM-TES-85	LUZP4
CST5	CST5
HGC6.4	MLLT4-AS1
LIN28	LIN28A
TRNAG26	TRNAG26
LOC102723755	LOC102723755
MIR8089	MIR8089
THBGB	PPBP
OR5B9	OR5B1P
MRPS16P2	MRPS16P2
STK14A	RPS6KB1
ASD1	ASD1
GluN3B	GRIN3B
SYN4	SNTG1
GU/RH-II	PIAS1
SNAI3	SNAI3
SC2	TECR
TRNAK19	TRNAK19
FAM75A6	SPATA31A6
LOC102724518	LOC102724518
ELOVL4	ELOVL4
MIR548F5	MIR548F5
MST091	TNS1
CCL24	CCL24
ZMAT3	ZMAT3
LOC101928186	LOC101928186
HNFJ1	UMOD
H4FH	HIST1H4H
IGKCD	IGKC
ANP-C	NPR3
LOC102724782	LOC102724782
G0S19-3	CCL3P1
CASKIN1	CASKIN1
CT39	NXF2
K26	KRT26
LOC100421561	LOC100421561
PLCH1-AS2	PLCH1-AS2
RPL17P50	RPL17P50
ZN-16	ZNF292
ATTP	UEVLD
LIN41	TRIM71
C2orf38	RBM43
OKL38	OSGIN1
MRPL44	MRPL44
LIMK2	LIMK2
CHDM	CHDM
LOC101805491	LOC101805491
LIMPII	SCARB2
TEM	MFT2
LOC101929018	LOC101929018
CBL-SL	CBLC
HsT19360	FAM103A1
LBP1C	TFCP2
HOX1K	HOXA2
HMT-1	ALG1
LOC100533727	LOC100533727
EIF2C1	AGO1
LOC101927301	LOC101927301
C7orf51	NYAP1
EDJ	DNAJB11
SAS-6	SASS6
LOC100506860	LOC100506860
MIR5699	MIR5699
XPID	FOXP3
THPH1	F2
RPL41L	RPL41P5
NCRNA00039	FAM13A-AS1
F18	MAMLD1
LOC100420440	LOC100420440
ARF4P2	ARF4P2
ARHGAP46	GMIP
EIF4B	EIF4B
LOC101928659	LOC101928659
KRT2	KRT2
AKAP-11	AKAP11
NFE1	GATA1
GOLGA7	GOLGA7
TRNAN22	TRNAN22
SPETEX1	SPATA18
KRT18P14	KRT18P14
MAGEC2	MAGEC2
LOC101059986	LOC101059986
CAMGAP1	ARHGAP27
PPARalpha	PPARA
LINC00521	LINC00521
FKHL16	FOXM1
BESC3	SCNN1G
LOC102724541	LOC102724541
C6orf156	OOEP
MMVP2	MMVP2
SCYA4L	CCL4L1
TGM1	TGM1
MPRB	PAQR8
ZNF1A2	IKZF2
PKD3	PRKD3
TRNAG-CCC	TRNAG-CCC
OR9Q2	OR9Q2
ARPC2	ARPC2
MIR514A2	MIR514A2
ENG	ENG
OR7A15P	OR7A15P
T2R2	TAS2R2P
LOC344887	LOC344887
KBRAS1	NKIRAS1
OR2I3P	OR2I1P
LOC100506393	LOC100506393
PGP	PGP
BNIP3P24	BNIP3P24
FAM183A	FAM183A
PCDHACT	PCDHACT
SKIP1	TRIB1
MDDX28	DDX28
MIRN599	MIR599
bA133M9.1	RORB
OR2M5	OR2M5
EP	EPO
PCBP2P2	PCBP2P2
TAF9P1	TAF9P1
CENP-K	CENPK
NY-REN-34	PHF11
IL-23	IL23A
MIRN29C	MIR29C
ASXL3	ASXL3
RPIA	RPIA
NESG1	CCDC19
KV10.1	KCNG3
HSP-CBF	CEBPZ
SCN	SRI
LOC101930325	LOC101930325
ZNF701	ZNF701
HEL-S-133P	LDHA
CCDC36	CCDC36
LINC00309	LINC00309
CLEC13C	PLA2R1
HSPA13	HSPA13
hsa-mir-6086	MIR6086
RN5S509	RNA5SP509
PHKA	PHKA1
STN1	OBFC1
MIR5692A2	MIR5692A2
ARHGEF37	ARHGEF37
TAF6	TAF6
SFRP5	SFRP5
M-SEMAH	SEMA3E
ML8	XRCC6
EBAG9	EBAG9
JNK2	MAPK9
SIR2L2	SIRT2
UROD	UROD
I-BAP	FABP6
LOC101928150	LOC101928150
TUBB2A	TUBB2A
CHL	CHRDL1
RPL36	RPL36
LOC645166	LOC645166
MTW1	MIS12
AFF2	AFF2
EXOD1	ERI2
MIRN213	MIR181A1
Skn-1a	POU2F3
AASTH48	AASTH48
REXO1L2P	REXO1L2P
ERVE-3	ERVE-3
LOC102724185	LOC102724185
ANKRD20A2	ANKRD20A2
hsa-mir-6776	MIR6776
HSPD1P21	HSPD1P21
GPR16	LTB4R
LOC100113421	LOC100113421
ZNF597	ZNF597
LONRF3	LONRF3
hsa-mir-7108	MIR7108
MSTP038	ARHGAP17
C14orf102	NRDE2
POIKTMP	FAM111B
ANKRD39	ANKRD39
TVP23B	TVP23B
MYG	C12orf10
CABP4	CABP4
BMZF1	ZNF253
IGKV2OR22-4	IGKV2OR22-4
LOC100419890	LOC100419890
LOC100288111	LOC100288111
RPL10_3_705	RPL10P10
VCY2A	BPY2
LOC100506036	LOC100506036
OXPAT	PLIN5
C20orf126	PDRG1
SEPP1	SEPP1
HSPA8P17	HSPA8P17
VEPH	VEPH1
MTG2	MTG2
DGS-G	TSSK2
CT47A7	CT47A7
LOC102724425	LOC102724425
RNF176	MARCH6
dJ697K14.9	PPDPF
LPC1	S1PR4
FACVL1	SLC27A2
DENR	DENR
MTCLIC	CLIC4
MIR607	MIR607
SENP2	SENP2
LOC101928110	LOC101928110
FLJ45721	FLJ45721
XPNPEP1	XPNPEP1
bA317E16.2	HIST1H2AA
LOC100506730	LOC100506730
CGRPRCP	CRCP
PMCA2i	ATP2B2
FGFR3P1	FGFR3P1
ZNF780	ZNF780A
PCGF5	PCGF5
RPS29_22_1795	RPS29P28
GRID2IP	GRID2IP
LOC100131662	LOC100131662
FGF7P1	FGF7P1
AL4	GAGE12G
LOC100506286	LOC100506286
LQT12	SNTA1
FOXRED2	FOXRED2
IGLV2-18	IGLV2-18
MRT1	SNX27
STK33P	STK33P1
HAG3	AGR3
CYTL1	CYTL1
SORBS1	SORBS1
KPG_011	CYSLTR2
hKNL-1	CASC5
RPL7AP53	RPL7AP53
DRIL2	ARID3B
LOC101927680	LOC101927680
TIG-1	MED15
GNGT11	GNG11
ALOX12P	ALOX12P1
LOC100420574	LOC100420574
FTHL16	FTH1P16
LOC101930120	LOC101930120
EZFIT	ZNF71
MRP-L38	MRPL38
COLLYBISTIN	ARHGEF9
C11orf94	C11orf94
NTEF-1	TEAD1
KIAA1957	C2CD4C
C9orf158	HDHD3
NifU	NFU1
RIP2	ARHGEF28
LOC100287877	LOC100287877
PDH	PDP1
MIR6075	MIR6075
LOC100422252	LOC100422252
RPL30P4	RPL30P4
FUSIP1	SRSF10
Repo-Man	CDCA2
MAG	MAG
EVA1B	EVA1B
TASSC	NIPSNAP3A
CHC1L	RCBTB2
BAF250B	ARID1B
MGLUR5	GRM5
LOC100420211	LOC100420211
UBA6	UBA6
FCGR2A1	FCGR2A
ZNF451	ZNF451
IGHD1-20	IGHD1-20
RPS12P9	RPS12P9
IL1R3	IL1RAP
CX29	GJC3
dJ417I1.2	BAG2
LOC100631337	LOC100631337
TRAV40	TRAV40
VNN1	VNN1
Klk6	KLK1
CGI-PDE A	PDE3A
PP3958	MPDU1
NOGO	RTN4
IGFBP-3R	TMEM219
CLNMT	CAMKMT
HE6	GPR64
FOSL1P1	FOSL1P1
FCRH5	FCRL5
hSiah2	SIAH2
PIRC114	PIRC114
MIR196A1	MIR196A1
ROS-GC2	GUCY2F
RNA5SP112	RNA5SP112
PR264	SRSF2
TRIM60PY10	TRIM60P10Y
CT104.2	POTEE
DOK3	DOK3
GRIN1	GPRIN1
MIRN91	MIR17
CLEC2L	CLEC2L
PCAT18	PCAT18
LINC00654	LINC00654
RWDD1	RWDD1
VHLL	VHLL
bHLHa3	NEUROD1
C15orf55	NUTM1
HEL-S-91	SRSF6
IGES	IGES
BMPR1APS2	BMPR1APS2
FTLP5	FTLP5
hsa-mir-1281	MIR1281
GP200-MR6	LY75
hsa-mir-1250	MIR1250
USP17A	USP17L9P
BAZ-1	ZNF214
hsa-mir-1539	MIR1539
TBC1D10C	TBC1D10C
hsa-mir-6746	MIR6746
D6S2654E	FAM50B
RPS18_2_763	RPS18P10
MTACR1	WT2
IGLV34	IGLV3-4
HSPA5BP1	TMEM132A
FLJ43585	FLJ43585
CCDC144B	CCDC144B
LOC728715	LOC728715
CTXN2	CTXN2
EDDM3A	EDDM3A
Nesp3	SYNE3
SNORD56B	SNORD56B
NEU4	NEU4
CCKAR	CCKAR
TMEM173	TMEM173
PTH2R	PTH2R
WBSCR7	GTF2IP1
HCP5B	HCP5B
LOC100422645	LOC100422645
RPL12P4	RPL12P4
INAC	ASIC5
LOC100127892	LOC100127892
ESSPL	PRSS48
TAFII-31	TAF9
MIR4502	MIR4502
MSTP161	PRELP
LOC101927523	LOC101927523
BFAR	BFAR
HBII-85-21	SNORD116-21
ANKRD36BP1	ANKRD36BP1
ZNF14	ZNF14
EDDM3CP	EDDM3CP
jerky	JRK
KRTAP2-5P	KRTAP2-5P
SLC27A4	SLC27A4
H3t	HIST3H3
KLHL22	KLHL22
DLEU7-AS1	DLEU7-AS1
HSP90B	HSP90AB1
ALPS4	NRAS
PRKD1	PRKD1
TRAV8-1	TRAV8-1
TRAV381	TRAV38-1
GAPDHP71	GAPDHP71
MGDF	THPO
C56	IFIT1
LOC393078	LOC393078
ICAM1	ICAM1
dJ509I19.5	ECT2L
PIRC34	PIRC34
pDP1679	DAZ3
HEL74	NT5C
SNORD36C	SNORD36C
hsa-mir-6506	MIR6506
TCEB3L	TCEB3B
TBX5-AS1	TBX5-AS1
MCKD	MUC1
MIR548V	MIR548V
RAPGEF3	RAPGEF3
MYR12	MYO5A
KRN1L	KRTAP5-1
NM23-H1	NME1
TDP-43	TARDBP
PLA2IR	PLA2R1
HTM-alpha	TPM1
HSPDP3	HSPD1P3
LOC101927760	LOC101927760
OR10A3	OR10A3
RPL35AP17	RPL35AP17
C20orf36	PCMTD2
ZNF367	ZNF367
FBXO41	FBXO41
RPL7_8_586	RPL7P24
HsT2563	CABLES1
NCKAP5-IT1	NCKAP5-IT1
GPI-HBP1	GPIHBP1
